	ああ	ah	Ah!	ах
木曜日	もくようび	mokuyoubi	Thursday	Четверг
''	もしもし	moshimoshi	hello on the phone	привет
勿論	もちろん	mochiron	of course	Конечно
持つ	もつ	motsu	to have, to own	Держать
''	もっと	motto	more	более
物	もの	mono	thing	вещь
門	もん	mon	gate	ворота
問題	もんだい	mondai	problem, question	проблема
Kanji	Furigana	Romaji	Meaning	Чувство
〜屋	〜や	~ya	shop. store	~
八百屋	やおや	yaoya	vegetable shop	Greengrocer
野菜	やさい	yasai	vegetable	овощи
優しい	やさしい	yasashii	gentle	добрый
安い	やすい	yasui	cheap, inexpensive	дешевый
休み	やすみ	yasumi	holiday, vacation	праздничный день
休む	やすむ	yasumu	to rest	отдых
八つ	やっつ	yattsu	eight	восемь
山	やま	yama	mountain	гора
	やる	yaru	to do	делать
Kanji	Furigana	Romaji	Meaning	Чувство
八日	ようか	youka	8th day of the month, 8 days	Восемь дней
洋服	ようふく	youfuku	western style clothing	одежда
''	よく	yoku	often	часто
横	よこ	yoko	horizontal	рядом
四日	よっか	yokka	4th day of the month, 4 days	Четыре дня
四つ	よっつ	yottsu	four	четыре
呼ぶ	よぶ	yobu	to call	Вызов
読む	よむ	yomu	to read	читать
夜	よる	yoru	night	ночь
Kanji	Furigana	Romaji	Meaning	Чувство
来月	らいげつ	raigetsu	next month	в следующем месяце
来週	らいしゅう	raishuu	next week	на следующей неделе
来年	らいねん	rainen	next year	в следующем году
''	ラジオ	rajio	radio	радио
Kanji	Furigana	Romaji	Meaning	Чувство
立派	りっぱ	rippa	splendid	отлично
留学生	りゅうがくせい	ryuugakusei	foreign student	Международный студент
両親	りょうしん	ryoushin	parents	родители
料理	りょうり	ryouri	cooking	кулинария
旅行	りょこう	ryokou	travel	путешествие
Kanji	Furigana	Romaji	Meaning	Чувство
	れい	rei	zero	дух
冷蔵庫	れいぞうこ	reizouko	refrigerator	холодильник
''	レコード	rekoodo	record	записывать
''	レストラン	resutoran	restaurant	ресторан
練習	れんしゅう	renshuu	practice	упражняться
六	ろく	roku	six	Шесть
''	ワイシャツ	waishatsu	white shirt	рубашка
若い	わかい	wakai	young	молодой
分かる	わかる	wakaru	to know, to understand	Понимать
忘れる	わすれる	wasureru	to forget	забывать
私	わたし	watashi	me, I	я
渡す	わたす	watasu	to hand over	сдавать
渡る	わたる	wataru	to cross	Быть перегруженным
悪い	わるい	warui	bad	плохой
