Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
悲劇;ひげき;higeki;tragedy;Noun;трагедия
批判;ひはん;hihan;criticism, judgment;Noun, Suru verb, Transitive verb;Критика, суждение
批評;ひひょう;hihyou;criticism, review;Noun, Suru verb, Transitive verb;Критика, обзор
非常;ひじょう;hijou;emergency, extraordinary;Noun;Чрезвычайная, экстраординарная
比較;ひかく;hikaku;comparison;Noun, Suru verb, Transitive verb;сравнение
引き受ける;ひきうける;hikiukeru;to undertake, to accept;Ichidan verb, Transitive verb;предпринять, принять
飛行;ひこう;hikou;aviation, flight;Noun, Suru verb, Intransitive verb;авиация, полет
轢く;ひく;hiku;to run over (with a vehicle);Godan verb with 'ku' ending, Transitive verb;Чтобы сбежать (с автомобилем)
秘密;ひみつ;himitsu;secret, secrecy;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';Секрет, секретность
紐;ひも;himo;string, cord;Noun;струна, шнур
引っ張る;ひっぱる;hipparu;to pull, to draw;Godan verb with 'ru' ending, Transitive verb;тянуть, чтобы нарисовать
広がる;ひろがる;hirogaru;to spread out, to extend;Godan verb with 'ru' ending, Intransitive verb;распространять, расширить
昼寝;ひるね;hirune;nap (afternoon), siesta​;Noun, Suru verb, Intransitive verb;Ней (день), Сиеста
必死;ひっし;hisshi;frantic, desperate;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';безумный, отчаянный
額;がく, ひたい;gaku, hitai;forehead, brow;Noun;сумма, количество, картина ,лоб
否定;ひてい;hitei;negation, denial;Noun, Suru verb, Transitive verb;отрицание, отрицание
人々;ひとびと;hitobito;people, men and women;Noun;люди, народ
人込み;ひとごみ;hitogomi;crowd of people;Noun;толпа людей
一言;ひとこと;hitokoto;single word, a few words;Noun, Suru verb, Transitive verb, Intransitive verb;Одиночное слово, несколько слов
一人暮らし;ひとりぐらし;hitorigurashi;living by oneself, living alone​;Noun;Жить самостоятельно, жить в одиночестве
等しい;ひとしい;hitoshii;equal;I-adjective (keiyoushi);равный
費用;ひよう;hiyou;cost, expense;Noun;Стоимость, расходы
膝;ひざ;hiza;knee, lap;Noun;колено, колен
日付;ひづけ;hizuke;date;Noun;дата
略;ほぼ;hobo;almost, roughly;Adverb (fukushi);Почти, грубо
歩道;ほどう;hodou;footpath, walkway;Noun;Пешеходная дорожка, проход
吠える;ほえる;hoeru;to bark, to howl;Ichidan verb, Intransitive verb;Кора, выть
微笑む;ほほえむ;hohoemu;to smile;Godan verb with 'mu' ending, Intransitive verb;улыбаться
誇り;ほこり;hokori;pride, boast;Noun;Гордость, хвастаться
埃;ほこり;hokori;dust;Noun;пыль
歩行者;ほこうしゃ;hokousha;pedestrian, walker​;Noun;Пешеход, Уокер
骨;ほね;hone;bone;Noun;кость
本気;ほんき;honki;seriousness, earnestness, truth;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);Серьезность, серьезность, правда
本物;ほんもの;honmono;genuine article;Noun, Noun which may take the genitive case particle 'no';Подлинная статья
本人;ほんにん;honnin;the person himself;Noun;сам человек
炎;ほのお;honoo;flame, blaze;Noun;Пламя, пламя
本屋;ほんや;hon’ya;bookstore, bookshop​;Noun;Книжный магазин, книжный магазин
頬;ほお;hoo;cheek (of face);Noun;щека (лица)
掘る;ほる;horu;to dig, to excavate;Godan verb with 'ru' ending, Transitive verb;копать, раскопать
保証;ほしょう;hoshou;guarantee, security;Noun, Suru verb, Transitive verb;Гарантия, безопасность
干す;ほす;hosu;to dry, to drink up;Godan verb with 'su' ending, Transitive verb;высохнуть, выпить
保存;ほぞん;hozon;preservation, conservation;Noun, Suru verb, Transitive verb;сохранение, сохранение
方;ほう;hou;direction, way, side;Noun;направление, путь, сторона
法;ほう;hou;law, act, principle;Noun, Noun, used as a suffix;закон, акт, принцип
放題;ほうだい;houdai;to one’s heart’s content;Suffix;до его сердца
豊富;ほうふ;houfu;abundance, wealth;Na-adjective (keiyodoshi), Noun;изобилие, богатство
方法;ほうほう;houhou;method, way, manner;Noun;Метод, путь, манера
報告;ほうこく;houkoku;report, information;Noun, Suru verb, Transitive verb;Отчет, информация
方向;ほうこう;houkou;direction, way;Noun;направление, путь
訪問;ほうもん;houmon;call, visit;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';Позвоните, посетите
宝石;ほうせき;houseki;gem, jewel;Noun;драгоценный камень, драгоценный камень
放送;ほうそう;housou;broadcast, broadcasting;Noun, Suru verb, Transitive verb;вещание, вещание
表;ひょう;hyou;table, chart, list;Noun;Таблица, диаграмма, список
評判;ひょうばん;hyouban;fame, reputation;Noun, Noun which may take the genitive case particle 'no';слава, репутация
表現;ひょうげん;hyougen;expression, representation;Noun, Suru verb, Transitive verb;выражение, представление
表情;ひょうじょう;hyoujou;facial expression;Noun;выражение лица
評価;ひょうか;hyouka;valuation, estimation;Noun, Suru verb, Transitive verb;Оценка, оценка
表面;ひょうめん;hyoumen;surface, face;Noun, Noun which may take the genitive case particle 'no';поверхность, лицо
胃;い;i;stomach;Noun;желудок
一致;いっち;icchi;match, agreement;Noun, Suru verb, Intransitive verb;совпадать, соглашение
位置;いち;ichi;place, position;Noun, Suru verb, Intransitive verb;место, позиция
市場;いちば;ichiba;market, the market place;Noun;рынок, рынок
一部;いちぶ;ichibu;one part, one portion;Noun, Adverb (fukushi);одна часть, одна часть
一度に;いちどに;ichido ni;all at once;Adverb (fukushi);все сразу
一時;いちじ;ichiji;time, moment;Noun;время, момент
一応;いちおう;ichiou;just in case​, pretty much;Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi);На всякий случай, в значительной степени
一流;いちりゅう;ichiryuu;first-class, top grade;Noun which may take the genitive case particle 'no', Noun;Первоклассник, высший класс
偉大;いだい;idai;greatness;Na-adjective (keiyodoshi);величие
抱く;いだく;idaku;to embrace;Godan verb with 'ku' ending, Transitive verb;обнять
移動;いどう;idou;movement, transfer;Noun, Suru verb, Transitive verb, Intransitive verb;Движение, передача
衣服;いふく;ifuku;clothes;Noun;одежда
意外;いがい;igai;unexpected, surprising;Na-adjective (keiyodoshi), Adverb taking the 'to' particle, Noun;неожиданный, удивительный
違反;いはん;ihan;violence, offense;Noun, Suru verb, Intransitive verb;насилие, преступление
委員;いいん;iin;committee member;Noun;член комитета
維持;いじ;iji;maintenance, preservation;Noun, Suru verb, Transitive verb;техническое обслуживание, сохранение
異常;いじょう;ijou;strangeness, abnormality;Na-adjective (keiyodoshi), Noun;Странность, аномалия
一家;いっか;ikka;a house, a home;Noun;дом, дом
息;いき;iki;breath;Noun;дыхание
生き物;いきもの;ikimono;living thing, animal;Noun;Живое существо, животное
勢い;いきおい;ikioi;force, vigor, energy;Noun;сила, энергия, энергия
以降;いこう;ikou;hereafter, since;Noun, Adverb (fukushi);в дальнейшем, с тех пор
居間;いま;ima;living room;Noun;гостиная
今に;いまに;ima ni;before long, even now;Adverb (fukushi);Вскоре, даже сейчас
今にも;いまにも;ima ni mo;at any time, soon;Adverb (fukushi);в любое время, скоро
稲;いね;ine;rice-plant;Noun;рисовый завод
居眠り;いねむり;inemuri;nodding off, dozing;Noun, Suru verb, Intransitive verb;кивнув, дремот
命;いのち;inochi;life, life force;Noun;Жизнь, жизненная сила
飲料;いんりょう;inryou;beverage, drink​;Noun;напиток, выпить
印刷;いんさつ;insatsu;printing;Noun, Suru verb, Transitive verb;печать
飲食;いんしょく;inshoku;food and drink, eating and drinking​;Noun, Suru verb, Transitive verb, Intransitive verb;Еда и пить, есть и пить
印象;いんしょう;inshou;impression;Noun;впечатление
引退;いんたい;intai;retire;Noun, Suru verb, Intransitive verb;уходить в отставку
引用;いんよう;in’you;quotation, citation;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';Цитата, цитата
一般;いっぱん;ippan;general, universal;Noun which may take the genitive case particle 'no', Noun;генерал, универсальный
一方;いっぽう;ippou;one way, the other way;Noun;В одном пути, в другую сторону
以来;いらい;irai;since, henceforth;Noun, Adverb (fukushi);С тех пор, впредь
依頼;いらい;irai;request, commission;Noun, Suru verb, Transitive verb;запрос, комиссия
苛々;いらいら;iraira;getting nervous, irritation;Suru verb, Noun, Adverb (fukushi), Adverb taking the 'to' particle;нервничать, раздражать
衣類;いるい;irui;clothes, garments​;Noun;одежда, одежда
医療;いりょう;iryou;medical care;Noun;медицинская помощь
医師;いし;ishi;doctor, physician;Noun;Доктор, врач
意思;いし;ishi;intention, purpose;Noun;намерение, цель
意志;いし;ishi;will, volition;Noun;воля, воля
意識;いしき;ishiki;consciousness;Noun, Suru verb;сознание
一生;いっしょう;isshou;whole life, a lifetime;Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi);Вся жизнь, всю жизнь
一種;いっしゅ;isshu;species, kind;Noun;виды, добрый
一瞬;いっしゅん;isshun;instant, moment;Noun, Adverb (fukushi);Мгновенный, момент
一層;いっそう;issou;much more, still more;Adverb (fukushi);Гораздо больше, еще больше
板;いた;ita;board, plank;Noun;Доска, планка
痛み;いたみ;itami;pain, ache, soreness;Noun;боль, боль, болезненность
痛む;いたむ;itamu;to hurt;Godan verb with 'mu' ending, Intransitive verb;причинить боль
至る;いたる;itaru;to arrive at, to reach;Godan verb with 'ru' ending, Intransitive verb;чтобы прибыть, чтобы добраться
悪戯;いたずら;itazura;mischief, prank;Noun, Suru verb, Transitive verb, Intransitive verb;вред, шутка
従兄弟;いとこ;itoko;cousin;Noun;двоюродный брат
一体;いったい;ittai;what on earth…;Adverb (fukushi);Что на земле ...
岩;いわ;iwa;rock;Noun;камень
言わば;いわば;iwaba;so to speak;Adverb (fukushi);так сказать
祝う;いわう;iwau;to congratulate, to celebrate;Godan verb with 'u' ending, Transitive verb;чтобы поздравить, чтобы отпраздновать
嫌がる;いやがる;iyagaru;to hate, to dislike​;Godan verb with 'ru' ending, Transitive verb;ненавидеть, не нравится
以前;いぜん;izen;ago, since, before;Noun, used as a suffix;назад, с тех пор, как
泉;いずみ;izumi;spring, fountain;Noun;Весна, фонтан
自動;じどう;jidou;automatic;Noun which may take the genitive case particle 'no', Noun;автоматический
自動販売機;じどうはんばいき;jidouhanbaiki;vending machine​;Noun;торговый автомат
自動車;じどうしゃ;jidousha;automobile;Noun;автомобиль
事実;じじつ;jijitsu;fact, truth, reality;Adverb (fukushi), Noun;Факт, правда, реальность
事情;じじょう;jijou;circumstances;Noun;обстоятельства
直に;じかに;jika ni;directly, in person;Adverb (fukushi);прямо лично
事件;じけん;jiken;event, affair, accident;Noun;событие, роман, авария
時期;じき;jiki;time, season, period;Noun, Adverb (fukushi);время, сезон, период
実家;じっか;jikka;(one’s parents’) home​;Noun;(родители) дом
実験;じっけん;jikken;experiment;Noun, Suru verb, Transitive verb;эксперимент
実行;じっこう;jikkou;execution, practice;Noun, Suru verb, Transitive verb;исполнение, практика
時刻;じこく;jikoku;instant, time, moment;Noun;Мгновенно, время, момент
自慢;じまん;jiman;pride, boast;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';Гордость, хвастаться
地面;じめん;jimen;ground, earth’s surface​;Noun;поверхность земли, земля, грунт
事務;じむ;jimu;business, office work;Noun;Бизнес, офисная работа
事務室;じむしつ;jimushitsu;office (room)​;Noun;Офис (комната)
人物;じんぶつ;jinbutsu;person, character, figure;Noun;человек, персонаж, фигура
人工;じんこう;jinkou;artificial, man-made;Noun, Noun which may take the genitive case particle 'no';искусственный, искусственный
人類;じんるい;jinrui;mankind, humanity;Noun;Человечество, человечество
生;なま;jinsei;life;Noun which may take the genitive case particle 'no', Noun;жизнь
人種;じんしゅ;jinshu;race (of people), type of person;Noun;Раса (людей), тип человека
時差;じさ;jisa;time difference​;Noun;Разница во времени
自殺;じさつ;jisatsu;suicide;Noun, Suru verb, Intransitive verb;самоубийство
自身;じしん;jishin;by oneself, personally;Noun, Noun, used as a suffix;сам по себе
自信;じしん;jishin;self-confidence;Noun;уверенность в себе
実際;じっさい;jissai;practical, reality;Noun, Noun which may take the genitive case particle 'no';Практическая, реальность
実施;じっし;jisshi;enforcement, implementation;Noun, Suru verb, Transitive verb;правоприменение, реализация
実習;じっしゅう;jisshuu;practice (in the field);Noun, Suru verb, Transitive verb;практика (в поле)
事態;じたい;jitai;situation;Noun;ситуация
自宅;じたく;jitaku;one’s home, one’s house​;Noun;дом, дом
実現;じつげん;jitsugen;implementation;Noun, Suru verb, Transitive verb, Intransitive verb;выполнение
実力;じつりょく;jitsuryoku;(real) ability, true strength;Noun;(реальная) способность, истинная сила
実は;じつは;jitsu wa;as a matter of fact;Expressions (phrases, clauses, etc.), Adverb (fukushi);собственно говоря
実用;じつよう;jitsuyou;practical use, utility​;Noun;Практическое использование, утилита
徐々;じょじょ;jojo;gradually, steadily;'taru' adjective, Adverb taking the 'to' particle;постепенно, неуклонно
女子;じょし;joshi;woman, girl;Noun;Женщина, девочка
助手;じょしゅ;joshu;helper, assistant;Noun;Помощник, помощник
女王;じょおう;joou;queen;Noun;королева
丈夫;じょうぶ;joubu;healthy, robust, strong;Na-adjective (keiyodoshi);Здоровый, крепкий, сильный
冗談;じょうだん;joudan;jest, joke;Noun;шутка, шутка
上下;じょうげ;jouge;up and down​, top and bottom;Noun;Вверх и вниз, сверху и снизу
上品;じょうひん;jouhin;elegant, polished​;Na-adjective (keiyodoshi);элегантный, отполированный
情報;じょうほう;jouhou;information, news;Noun;Информация, новости
条件;じょうけん;jouken;conditions, terms;Noun;Условия, Условия
上空;じょうくう;joukuu;sky, upper air;Noun;Небо, верхний воздух
乗客;じょうきゃく;joukyaku;passenger;Noun;пассажир
上京;じょうきょう;joukyou;proceeding to the capital (Tokyo);Noun, Suru verb, Intransitive verb;Переход в столицу (Токио)
状況;じょうきょう;joukyou;state of affairs;Noun;положение дел
常識;じょうしき;joushiki;common sense;Noun;здравый смысл
状態;じょうたい;joutai;condition, situation;Noun;состояние, ситуация
上達;じょうたつ;joutatsu;improvement, advance;Noun, Suru verb, Intransitive verb;Улучшение, продвижение
上等;じょうとう;joutou;superiority, first-class;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;Превосходство, первоклассный
女優;じょゆう;joyuu;actress;Noun;актриса
受験;じゅけん;juken;taking an examination;Noun, Suru verb, Transitive verb;сдав экзамен
順;じゅん;jun;order, turn;Noun, Noun, used as a suffix;заказ, поворот
順番;じゅんばん;junban;turn, order of things;Noun;повернуть, порядок вещей
順調;じゅんちょう;junchou;favorable, doing well;Na-adjective (keiyodoshi), Noun;благоприятный, все хорошо
銃;じゅう;juu;gun, rifle;Noun;пистолет, винтовка
重大;じゅうだい;juudai;serious, important;Na-adjective (keiyodoshi), Noun;Серьезно, важно
柔道;じゅうどう;juudou;judo;Noun;дзюдо
住民;じゅうみん;juumin;citizens, inhabitants;Noun;граждане, жители
重視;じゅうし;juushi;importance, stress;Noun, Suru verb, Transitive verb;значение, стресс
渋滞;じゅうたい;juutai;congestion, stagnation;Noun, Suru verb, Intransitive verb;Стагнация
住宅;じゅうたく;juutaku;residence, housing;Noun;Резиденция, жилье
重要;じゅうよう;juuyou;important, essential;Na-adjective (keiyodoshi);Важно, важно
需要;じゅよう;juyou;demand, request;Noun;спрос, запрос
株;かぶ;kabu;stock, share;Noun, Counter;акции, доля
被る;かぶる;kaburu;to put on (one’s head);Godan verb with 'ru' ending, Transitive verb;надеть (голова)
勝ち;かち;kachi;win, victory;Noun;победа, победа
価値;かち;kachi;value, worth;Noun;ценность, стоимость
替える;かえる;kaeru;to replace, to exchange;Ichidan verb, Transitive verb;заменить, обмениваться
会;かい;kai;meeting, assembly;Noun, Noun, used as a suffix;Встреча, Ассамблея
回;かい;kai;counter for occurrences;Counter;счетчик для происшествий
回復;かいふく;kaifuku;recovery;Noun, Suru verb, Transitive verb, Intransitive verb;восстановление
絵画;かいが;kaiga;picture, painting;Noun;картина, живопись
会合;かいごう;kaigou;meeting, assembly;Noun, Suru verb, Intransitive verb;Встреча, Ассамблея
海外;かいがい;kaigai;foreign, abroad;Noun, Noun which may take the genitive case particle 'no';иностранный, за границей
会員;かいいん;kaiin;member;Noun;член
会計;かいけい;kaikei;account, finance;Noun, Noun which may take the genitive case particle 'no', Suru verb;счет, финансы
改札;かいさつ;kaisatsu;ticket gate, ticket barrier​;Noun, Suru verb, Intransitive verb;билетные ворота, билетный барьер
解決;かいけつ;kaiketsu;settlement, solution;Noun, Suru verb, Transitive verb, Intransitive verb;Урегулирование, решение
快晴;かいせい;kaisei;clear weather, cloudless weather;Noun, Noun which may take the genitive case particle 'no';Четкая погода, безоблачная погода
会社員;かいしゃいん;kaishain;company employee​;Noun;сотрудник компании
解釈;かいしゃく;kaishaku;explanation, interpretation;Noun, Suru verb, Transitive verb;Объяснение, интерпретация
開始;かいし;kaishi;start, beginning;Noun, Suru verb, Transitive verb, Intransitive verb;Начните, начиная
回収;かいしゅう;kaishuu;collection, retrieval;Noun, Suru verb, Transitive verb;Коллекция, поиск
回数;かいすう;kaisuu;number of times, frequency;Noun;количество раз, частота
快適;かいてき;kaiteki;pleasant, comfortable;Na-adjective (keiyodoshi), Noun;Приятный, удобный
改善;かいぜん;kaizen;improvement;Noun, Suru verb, Transitive verb, Intransitive verb;улучшение
化学;かがく;kagaku;chemistry;Noun;химия
輝く;かがやく;kagayaku;to shine, to glitter;Godan verb with 'ku' ending, Intransitive verb;сиять, блеск
影;かげ;kage;shadow;Noun;тень
加減;かげん;kagen;adjustment, degree, extent;Noun, Noun, used as a suffix;корректировка, степень, степень
鍵;かぎ;kagi;key;Noun;ключ
限る;かぎる;kagiru;to restrict, to limit;Godan verb with 'ru' ending, Transitive verb;ограничить, ограничить
籠;かご;kago;basket, cage;Noun;корзина, клетка
家具;かぐ;kagu;furniture;Noun;мебель
家事;かじ;kaji;housework;Noun;Работа по дому
抱える;かかえる;kakaeru;to hold in the arms;Ichidan verb, Transitive verb;держаться в руках
価格;かかく;kakaku;price, value, cost;Noun;Цена, стоимость, стоимость
関わる;かかわる;kakawaru;to be concerned with, to have to do with;Godan verb with 'ru' ending, Intransitive verb;быть обеспокоенным, иметь отношение к
欠ける;かける;kakeru;to be lacking;Ichidan verb, Intransitive verb;не хватает
書き直す;かきなおす;kakinaosu;to write out, to rewrite;Godan verb with 'su' ending, Transitive verb;написать, переписать
活気;かっき;kakki;energy, liveliness;Noun;Энергия, Жизненность
過去;かこ;kako;the past, bygone days;Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no';прошлое, ушедшие дни
囲む;かこむ;kakomu;to surround, to encircle;Godan verb with 'mu' ending, Transitive verb;окружить, чтобы окружать
各地;かくち;kakuchi;every place, various places​;Noun;Каждое место, в разных местах
拡大;かくだい;kakudai;magnification;Noun, Suru verb, Transitive verb, Intransitive verb;увеличение
覚悟;かくご;kakugo;resolution, readiness;Noun, Suru verb, Transitive verb;разрешение, готовность
確実;かくじつ;kakujitsu;certainty, reliability;Na-adjective (keiyodoshi), Noun;уверенность, надежность
確認;かくにん;kakunin;confirmation, verification;Noun, Suru verb, Transitive verb;Подтверждение, проверка
隠れる;かくれる;kakureru;to hide, to be hidden;Ichidan verb, Intransitive verb;Скрыть, быть скрытым
隠す;かくす;kakusu;to hide, to conceal;Godan verb with 'su' ending, Transitive verb;Скрыть, скрывать
我慢;がまん;gaman;patience, endurance;Noun, Suru verb, Transitive verb, Intransitive verb;Терпение, выносливость
構う;かまう;kamau;to mind, to care about;Godan verb with 'u' ending;Нам, чтобы заботиться о
神;かみ;kami;God, deity;Noun;Бог, Божество
上;じょう;kami;person of high rank, government;Noun, Noun which may take the genitive case particle 'no';человек высокого звания, правительство
雷;かみなり;kaminari;lightning, thunder;Noun;Молния, гром
髪の毛;かみのけ;kami no ke;hair (head);Expressions (phrases, clauses, etc.), Noun;волосы (голова)
科目;かもく;kamoku;school subject;Noun;Школьный предмет
缶;かん;kan;can, tin;Noun, Counter;банка, олова
管;かん;kan;pipe, tube;Noun, Noun, used as a suffix;трубка, трубка
勘;かん;kan;perception, intuition;Noun;Восприятие, Интуиция
看板;かんばん;kanban;signboard, billboard;Noun;Вывеска, Billboard
必ずしも;かならずしも;kanarazushimo;not always;Adverb (fukushi);Не всегда
可也;かなり;kanari;considerably, fairly;Adverb (fukushi), Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);значительно, справедливо
悲しむ;かなしむ;kanashimu;to be sad, to mourn for;Godan verb with 'mu' ending, Transitive verb;грустить, оплакивать
感動;かんどう;kandou;feeling deeply moved emotionally;Noun, Suru verb, Intransitive verb;Чувство глубоко тронуто эмоционально
考え;かんがえ;kangae;thinking, thought, view;Noun;думать, думать, взглянуть
歓迎;かんげい;kangei;welcome, reception;Noun, Suru verb, Transitive verb;Добро пожаловать, прием
感激;かんげき;kangeki;deep emotion, impression;Noun, Suru verb, Intransitive verb;глубокие эмоции, впечатление
患者;かんじゃ;kanja;patient;Noun;пациент
感じ;かんじ;kanji;feeling, sense;Noun;Чувство, смысл
感じる;かんじる;kanjiru;to feel, to sense;Ichidan verb, Transitive verb, Intransitive verb;чувствовать, чувствовать
勘定;かんじょう;kanjou;calculation, counting;Noun, Suru verb, Transitive verb;Расчет, подсчет
感情;かんじょう;kanjou;emotion, feeling;Noun, Noun which may take the genitive case particle 'no';эмоции, чувство
感覚;かんかく;kankaku;sense, sensation, feeling;Noun, Suru verb, Transitive verb;смысл, ощущение, чувство
間隔;かんかく;kankaku;space, interval​;Noun;пространство, интервал
観光;かんこう;kankou;sightseeing;Noun, Suru verb, Transitive verb;осмотр достопримечательностей
観光客;かんこうきゃく;kankoukyaku;tourist;Noun;турист
観客;かんきゃく;kankyaku;audience, spectator;Noun;Аудитория, зритель
環境;かんきょう;kankyou;environment;Noun;среда
可能;かのう;kanou;potential, possible;Na-adjective (keiyodoshi), Noun;потенциал, возможно
管理人;かんりにん;kanrinin;administrator, manager;Noun;Администратор, менеджер
観察;かんさつ;kansatsu;observation;Noun, Suru verb, Transitive verb;наблюдение
感謝;かんしゃ;kansha;thanks, gratitude;Noun, Suru verb, Transitive verb, Intransitive verb;Спасибо, благодарность
感想;かんそう;kansou;impressions, thoughts;Noun;впечатления, мысли
乾燥;かんそう;kansou;drying (e.g. clothes), dryness;Noun, Suru verb, Transitive verb, Intransitive verb;сушка (например, одежда), сухость
香り;かおり;kaori;fragrance;Noun;аромат
空;から;kara;emptiness, vacuum, blank;Noun;Пустота, вакуум, пусто
彼ら;かれら;karera;they (usually male);Pronoun;Они (обычно мужчины)
枯れる;かれる;kareru;to wither (of a plant);Ichidan verb, Intransitive verb;увядать (из растения)
刈る;かる;karu;to cut (hair), to mow (grass);Godan verb with 'ru' ending, Transitive verb;подстричь (волосы), косить (трава)
火災;かさい;kasai;conflagration, fire;Noun;пожар, огонь
重ねる;かさねる;kasaneru;to pile up, to heap up;Ichidan verb, Transitive verb;накапливаться, чтобы собрать
稼ぐ;かせぐ;kasegu;to earn income;Godan verb with 'gu' ending, Transitive verb;Чтобы заработать доход
完成;かんせい;kansei;complete, completion;Noun, Suru verb, Transitive verb, Intransitive verb;завершить, завершить
貸出;かしだし;kashidashi;lending, loaning;Noun, Suru verb;кредитование, заем
賢い;かしこい;kashikoi;wise, clever, smart;I-adjective (keiyoushi);Мудрый, умный, умный
感心;かんしん;kanshin;admiration;Noun, Suru verb, Intransitive verb;восхищение
関心;かんしん;kanshin;concern, interest;Noun;забота, интерес
関連;かんれん;kanren;relation, connection;Noun, Suru verb, Intransitive verb;отношение, связь
管理;かんり;kanri;control, management;Noun, Suru verb, Transitive verb;контроль, управление
完了;かんりょう;kanryou;completion, conclusion;Noun, Suru verb, Transitive verb, Intransitive verb;Завершение, заключение
関する;かんする;kansuru;to concern, to be related;Suru verb - special class;Чтобы быть связанным, быть связанным
監督;かんとく;kantoku;supervision;Noun, Suru verb, Transitive verb;надзор
歌手;かしゅ;kashu;singer;Noun;певец
型;かた;kata;model, type;Noun, Noun, used as a suffix;модель, тип
肩;かた;kata;shoulder;Noun;плечо
方々;かたがた;katagata;they (people), you (plural);Noun;Они (люди), ты (множественное число)
片方;かたほう;katahou;one of a pair, one side;Noun;одна из пары, одна сторона
固まる;かたまる;katamaru;to harden, to solidify​;Godan verb with 'ru' ending, Intransitive verb;Чтобы затвердеть, чтобы затвердеть
刀;かたな;katana;sword, katana;Noun;Меч, Катана
語り合う;かたりあう;katariau;to talk together;Godan verb with 'u' ending, Transitive verb;поговорить вместе
語る;かたる;kataru;to talk about;Godan verb with 'ru' ending, Transitive verb;говорить о
仮定;かてい;katei;assumption, hypothesis;Noun, Suru verb, Transitive verb;предположение, гипотеза
動;どう;katsudou;action, activity;Noun;действие, деятельность
活用;かつよう;katsuyou;practical use;Noun, Suru verb, Transitive verb;практическое использование
勝手;かって;katte;one’s own convenience, selfish;Noun, Na-adjective (keiyodoshi);собственное удобство, эгоистичное
飼う;かう;kau;to keep (a pet);Godan verb with 'u' ending, Transitive verb;сохранить (домашнее животное)
皮;かわ;kawa;skin, pelt;Noun;кожа, шкура
革;かわ;kawa;leather;Noun;кожа
可愛らしい;かわいらしい;kawairashii;lovely, sweet;I-adjective (keiyoushi);Прекрасный, милый
可哀そう;かわいそう;kawaisou;poor, pitiable;Na-adjective (keiyodoshi), Noun;Бедный, плачевный
川沿い;かわぞい;kawazoi;along the river, riverside;Noun which may take the genitive case particle 'no';вдоль реки, реки
完全;かんぜん;kanzen;perfection, completeness;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;совершенство, полнота
飾り;かざり;kazari;decoration;Noun, Noun, used as a suffix;украшение
数える;かぞえる;kazoeru;to count;Ichidan verb, Transitive verb;Считать
数;かず;kazu;number;Prefix;число
経営;けいえい;keiei;management;Noun, Suru verb, Transitive verb;управление
敬意;けいい;keii;respect, honor;Noun;уважение, честь
掲示;けいじ;keiji;notice, bulletin;Noun, Suru verb, Transitive verb;Обратите внимание, бюллетень
刑事;けいじ;keji;police detective, criminal matter;Noun;Полицейский детектив, преступное дело
掲示板;けいじばん;keijiban;bulletin board, notice board;Noun;Доска объявлений, доска уведомления
景気;けいき;keiki;business condition;Noun;деловое состояние
警告;けいこく;keikoku;warning, advice;Noun, Suru verb, Transitive verb;Предупреждение, советы
傾向;けいこう;keikou;tendency, trend;Noun;Тенденция, тенденция
計算;けいさん;keisan;calculation, reckoning;Noun, Suru verb, Transitive verb;Расчет, расчет
契約;けいやく;keiyaku;contract, agreement;Noun, Suru verb, Transitive verb;договор, соглашение
経由;けいゆ;keiyu;through, via;Noun, Suru verb, Intransitive verb;через, через
結果;けっか;kekka;result, consequence;Noun;результат, следствие
欠陥;けっかん;kekkan;defect, fault;Noun;дефект, ошибка
結局;けっきょく;kekkyoku;after all, eventually;Adverb (fukushi);В конце концов, в конце концов
煙;けむり;kemuri;smoke, fumes;Noun;дым, пары
券;けん;ken;ticket, coupon;Noun, Noun, used as a suffix;Билет, купон
県;けん;ken;prefecture (of Japan);Noun, Noun, used as a suffix;Префектура (Япония)
建築;けんちく;kenchiku;construction, architecture;Noun, Suru verb, Transitive verb;Строительство, архитектура
見学;けんがく;kengaku;inspection, field trip;Noun, Suru verb;Инспекция, полевая поездка
見解;けんかい;kenkai;opinion, point of view;Noun;мнение, точка зрения
健康;けんこう;kenkou;health;Noun;здоровье
研究者;けんきゅうしゃ;kenkyuusha;researcher;Noun;исследователь
研究所;けんきゅうじょ;kenkyuusho;research institute, laboratory​;Noun;Научно -исследовательский институт, Лаборатория
憲法;けんぽう;kenpou;constitution;Noun;Конституция
権利;けんり;kenri;right, privilege;Noun;Правильно, привилегия
検査;けんさ;kensa;inspection, examination;Noun, Suru verb, Transitive verb;Инспекция, экзамен
建設;けんせつ;kensetsu;construction;Noun, Suru verb, Transitive verb;строительство
